start, goal, distance, forward, backward, path_forward, path_backward
337074,278279,229,350,3561,230,230
113104,290291,499,24309,13691,552,552
289168,135709,531,8844,4546,538,538
306437,286320,245,7843,1556,274,274
80808,318402,672,12502,32394,729,729
54914,288743,549,29061,25825,854,854
203126,109889,507,22005,32075,588,588
391718,102442,700,26088,12909,801,801
372209,54079,860,36890,41151,1017,1017
304591,135296,399,5290,6285,432,432
365707,125375,572,19236,27646,695,695
185548,226553,225,9817,5474,464,464
96841,378757,684,17419,28621,841,841
196235,77395,510,23557,38291,607,607
275282,288280,38,813,2245,107,107
203130,86381,431,17704,28091,520,520
326628,98930,586,10644,10461,599,599
185554,107172,190,962,5348,243,243
168134,298471,305,40742,49069,722,722
288619,297763,72,73,73,73,73
182870,96628,274,3415,9661,291,291
305880,301909,83,6804,1453,184,184
115952,257925,379,45153,19117,738,738
204536,179342,138,1004,157,139,139
321220,331538,98,8963,10763,283,283
89914,124088,112,1180,5830,173,173
126541,270306,341,42731,14513,564,564
129572,186780,184,6834,5360,237,237
169442,354919,581,30686,67456,876,876
71363,90699,194,16640,7744,345,345
223967,97041,350,14627,60718,807,807
84753,120757,148,1933,3404,185,185
73129,145139,468,723,10915,469,469
380415,200191,512,71991,58557,1043,1043
88116,201410,414,31442,16674,513,513
188120,282270,406,6892,2633,425,425
305638,129292,522,24903,13139,649,649
336206,296359,103,415,906,108,108
94463,291945,490,41771,14970,699,699
328493,105383,630,12527,11070,637,637
328914,179759,547,69100,36748,874,874
206217,299868,339,34212,64816,794,794
320372,226986,506,7377,789,507,507
276022,196645,321,60349,36128,760,760
139726,388267,575,15980,43367,832,832
306788,113216,468,8516,10516,509,509
70130,89684,410,19641,21579,569,569
372659,151213,694,45160,26173,791,791
338532,79308,888,17282,23761,895,895
212728,206617,63,132,64,64,64
171947,210048,91,92,92,92,92
89521,262626,495,12430,6940,544,544
388300,198800,716,73406,36094,1115,1115
389584,65311,793,36894,32428,1020,1020
271234,287461,243,312,1685,244,244
117487,122641,54,55,55,55,55
172936,203996,188,283,478,189,189
292997,336637,194,2451,349,195,195
140123,63487,182,5066,2775,233,233
367849,217574,371,9147,20775,474,474
136051,193597,176,7311,8348,251,251
278083,318930,239,15812,1713,298,298
155246,36145,301,700,3413,304,304
80878,319842,604,26187,26288,773,773
190310,144322,196,5014,1422,249,249
269542,147696,454,19740,32638,551,551
370525,187243,546,574,5345,547,547
221906,106225,337,2085,6429,340,340
368758,198856,558,71230,38932,979,979
343987,179349,478,60927,33816,839,839
237821,366624,499,2967,4896,500,500
283132,275115,241,1408,3334,256,256
264010,105373,525,9107,34744,644,644
266644,120200,428,17572,34662,657,657
386118,180664,686,69842,33894,1009,1009
295835,105118,677,20814,15166,696,696
200188,1511,529,12079,27110,656,656
184108,297355,495,36460,66454,838,838
128503,327613,530,18995,31456,691,691
299764,150366,358,28597,34636,597,597
174228,276878,266,34403,55887,671,671
354065,91677,616,31277,22768,817,817
122809,291643,426,9890,9372,497,497
51434,142994,448,3141,10152,449,449
294271,283335,136,358,137,137,137
288133,211354,315,63300,34924,808,808
60598,177602,610,46658,20395,717,717
71287,149824,451,40001,29737,622,622
136662,157698,230,1858,7965,283,283
176285,341494,617,32699,70204,914,914
68378,129651,355,635,5764,356,356
267952,183233,479,66150,54799,908,908
81307,261429,422,41316,21111,787,787
70095,313880,569,29142,25867,926,926
208781,192430,141,835,174,142,142
286150,141597,697,67195,31840,914,914
129177,289080,495,6098,9023,502,502
268254,380435,293,8171,2854,336,336
273012,188453,319,54885,32474,688,688
292185,335766,253,5508,10860,272,272
166386,288288,510,27200,54024,735,735
290004,93012,478,41804,28252,763,763
54861,81439,330,17486,15015,523,523
257002,296361,135,1780,20321,316,316
128909,312874,485,22999,27994,646,646
290402,266561,81,2583,982,126,126
125033,199623,492,21006,22590,531,531
198320,54512,714,24922,30025,737,737
6701,188811,604,24222,9604,633,633
205852,76525,439,21454,42812,636,636
152028,211333,153,3054,7618,222,222
252075,390894,579,5101,38438,648,648
151765,77564,329,1058,997,330,330
193724,260121,301,55839,72036,898,898
264745,296903,190,270,984,191,191
341128,286931,197,198,862,198,198
83490,393448,786,27246,50191,971,971
366155,190116,647,67472,41620,982,982
292881,276822,75,76,76,76,76
272244,290818,88,294,1112,95,95
304153,105540,593,30531,13357,644,644
268410,75684,486,24867,40561,845,845
254380,230883,169,4481,5203,280,280
67092,269418,786,35627,14422,833,833
223081,57024,599,14698,75979,860,860
62557,274480,675,26432,9610,742,742
262730,272277,43,3216,5222,206,206
214057,295977,272,31065,70600,807,807
204005,100750,471,24324,33319,568,568
122657,168575,126,7816,2348,205,205
117206,310358,480,16510,19737,665,665
85516,243412,514,55716,11914,689,689
136714,90290,200,10128,1680,237,237
75255,317117,744,12028,17907,751,751
333263,79602,663,37845,28217,834,834
75611,167269,350,30775,30157,505,505
124899,380018,671,14048,14008,688,688
71296,222649,547,74159,24351,830,830
261273,31381,562,3588,8709,575,575
187716,332238,434,1929,565,435,435
124850,298469,415,20914,13004,544,544
168104,273605,525,46605,49979,788,788
391308,256639,317,13524,5529,408,408
153509,54880,323,3067,13006,360,360
315786,272974,154,364,1218,155,155
184896,118056,430,9829,17677,453,453
323213,105729,620,21375,30144,669,669
125445,376131,600,15077,38442,793,793
143330,135248,164,5077,17671,337,337
211502,171160,166,17287,27029,451,451
328124,282964,232,426,5706,235,235
313314,280258,224,1143,10859,257,257
282949,191963,266,58932,35370,717,717
262749,188970,339,3353,13191,472,472
148583,164159,48,49,49,49,49
95987,208790,471,34459,23043,568,568
286151,184575,488,62936,30481,829,829
377831,264406,283,11967,7765,356,356
336285,288319,208,3150,4390,213,213
376077,65348,883,37404,54194,1040,1040
80404,129163,283,6214,7164,294,294
106746,161976,322,1138,1868,323,323
310246,137033,413,5224,7356,452,452
93880,51302,242,18055,16067,421,421
194185,50949,418,11165,8951,437,437
108932,282495,471,6074,10151,486,486
309077,295124,129,1423,3474,162,162
113178,309503,629,19005,9861,640,640
146014,310221,479,25729,27860,588,588
285935,118305,446,14234,27815,551,551
287633,390412,395,11999,21963,436,436
77420,196382,388,13290,4148,441,441
275143,203992,303,58634,34808,760,760
177571,160417,206,24247,17195,397,397
318645,285860,385,9784,2205,412,412
295996,321013,155,194,411,156,156
315831,207141,258,71029,33140,843,843
216959,137549,446,27409,20934,537,537
324182,171907,643,58369,32777,860,860
294353,302465,134,5589,3215,183,183
280710,264054,270,9522,2670,307,307
135192,149461,53,112,60,54,54
127144,148976,302,1792,5443,311,311
198913,385687,582,33700,74718,1067,1067
106179,328467,672,36541,21907,715,715
299803,201016,291,60394,34402,782,782
304599,336693,126,1539,2318,149,149
104587,259186,375,59222,9942,706,706
138422,330308,510,15600,31949,753,753
236195,85967,370,4297,1969,383,383
286505,290384,27,28,28,28,28
239993,71354,621,14852,64723,814,814
161566,73554,524,10895,995,525,525
255667,226970,185,4161,5307,290,290
216936,324673,601,32319,63930,1018,1018
103175,124040,129,164,343,130,130
309003,338960,149,8760,5617,246,246
132422,67409,213,815,2391,214,214
330994,167595,535,46071,32768,776,776
132183,133260,213,3769,3009,246,246
