map,i,start,goal_near,goal_far,closed,forward,backward
brc100d.map,33,89892,15101,50916,21882,49,49
brc100d.map,34,43057,51621,59766,7798,848,3261
brc100d.map,35,94193,57730,71972,3249,88,82
brc100d.map,36,8048,21845,38860,148,18373,20385
brc100d.map,37,65267,16668,37295,15063,145,5515
brc100d.map,38,32240,55764,26164,144,16870,21117
brc100d.map,39,12792,42965,37163,10128,0,0
brc100d.map,40,30458,42604,52981,9900,6813,15398
brc100d.map,41,48818,51655,45502,3757,8689,12162
brc100d.map,42,41492,10477,43606,128,19688,11408
brc100d.map,43,47049,53146,51270,10204,1209,11726
brc100d.map,44,22641,24947,34215,53,21218,15707
brc100d.map,45,12442,48429,60844,9706,5458,11193
brc100d.map,46,60553,72244,24978,3163,7225,8164
brc100d.map,47,15926,49502,73814,20273,0,0
brc100d.map,48,71179,55355,48271,5628,738,4153
brc100d.map,49,20960,40087,67590,20766,0,0
brc100d.map,50,70338,31982,44173,2389,109,1779
brc100d.map,51,60608,54675,56918,2047,4913,5752
brc100d.map,52,12802,42215,63351,10724,7,2854
brc100d.map,53,50856,59755,45898,2305,15967,9961
brc100d.map,54,52637,95374,85319,2652,1502,8818
brc100d.map,55,40441,55359,21757,61,25627,18287
brc100d.map,56,67504,73900,27344,1364,13074,10555
brc100d.map,57,66713,41607,32366,83,9463,7095
brc100d.map,58,58599,17831,54437,15460,50,2243
brc100d.map,59,41008,48034,35580,51,4425,8944
brc100d.map,60,34345,47338,68747,4415,282,3153
brc100d.map,61,51256,47774,39302,92,20494,9210
brc100d.map,62,90033,67930,39607,4436,7484,8545
brc100d.map,63,55642,55901,26964,3762,30,239
brc100d.map,64,85977,83572,26125,699,10760,3664
brc100d.map,65,41824,54749,43926,81,12458,10697
brc100d.map,66,44525,44230,79822,4523,40,67
brc100d.map,67,33976,62165,63252,2944,1716,9325
brc100d.map,68,33196,61030,71500,891,1421,9787
brc100d.map,69,33595,44479,63291,11763,20,3648
brc100d.map,70,97096,44178,32758,2402,48,1203
brc100d.map,71,29673,53987,65210,756,3750,9838
brc100d.map,72,51290,44631,36612,26,9964,3943
brc100d.map,73,71536,65953,27713,3012,6563,2605
brc100d.map,74,70262,54263,55654,3453,6187,8149
brc100d.map,75,33810,43766,46907,9021,441,6139
brc100d.map,76,52355,41805,72557,62,6641,9126
brc100d.map,77,90274,91453,43138,7,2318,6479
brc100d.map,78,6488,50925,41175,478,21409,20409
brc100d.map,79,70016,71139,50289,164,9946,4037
brc100d.map,80,71376,56911,88465,200,4998,5793
brc100d.map,81,42000,44390,20955,45,25471,18126
brc100d.map,82,52065,31669,48005,65,6711,3580
brc100d.map,83,53809,40482,70732,36,3155,5121
brc100d.map,84,100041,93007,39282,58,3447,4651
brc100d.map,85,95370,53381,41846,1655,4906,397
brc100d.map,86,28834,22967,49396,29,12186,12585
brc100d.map,87,53929,46090,21826,22,5659,8410
brc100d.map,88,43218,36580,42286,994,10376,20304
brc100d.map,89,92558,90631,39310,154,274,920
brc100d.map,90,72702,86102,41503,410,316,321
brc100d.map,91,8084,96310,40423,7009,11393,18112
brc100d.map,92,87153,58916,17427,3203,20646,5414
